x,y,lon,lat,name
6448,1415,24.79390767925604,59.44343176908318,Russalka
3323,885,24.740811604791496,59.44981476453107,Patarei
6326,1960,24.79098040435588,59.4384859404756,Kadrioru loss
3716,2686,24.745308501476703,59.43372332291831,Jaani kirik
2741,956,24.730738982768084,59.449449016003435,Kalamaja surnuaed
7173,3161,24.805590491170896,59.42790209024633,Punane tuletorn
6808,2045,24.798586440632928,59.4372817850893,Valge tuletorn
6197,3701,24.78689324811072,59.42335048130068,Tartu maantee
3499,4832,24.739377442800095,59.41466115023801,Juurdeveo tn
1438,3326,24.70498655023382,59.42933294932402,Endla tn
329,495,24.688751584750005,59.45483445935306,Kopli kalmistu
